what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297351059928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297351062389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297351974797
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297351976470
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297351982641
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352002816
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352002849
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1297352015027
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297352031356
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352031602
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352031633
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352041360
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1297352051741
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1297352056103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352065022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352072261
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297352073395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352074983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352077942
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352081531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352082942
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352084772
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352085664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1297352091159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352097513
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352106677
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352259736
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352342763
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297352365307
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297352368774
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297352392594
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352423078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352424378
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352425275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352426244
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352503142
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297352504697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352578748
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352824339
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352824363
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297352836848
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352837019
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297352843412
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297352871410
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297352874496
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352884735
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297352895784
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297352898403
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297352913454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297352964150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353143964
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297353143989
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297353162347
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297353165636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353165665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353167821
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297353179491
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297353189356
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297353232103
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297353240391
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297353263953
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297353279242
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297353301345
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297353310339
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297353338552
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1297353359425
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297353384050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353450030
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353647980
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297353650098
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297353652478
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353655182
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353657297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353657506
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297353658209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353667573
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353668587
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353671793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353672611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353673048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353706578
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297353708505
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297353712437
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297353715484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353723306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353729821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353730569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353763237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353769182
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353770671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353771971
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353787458
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297353790615
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297353794262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353818987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297353913783
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297353915271
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297353918202
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297353921395
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297353924777
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1297353929490
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1297353941694
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1297353955549
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1297353955687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1297353955838
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1297353956150
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1297353956771
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297353958277
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297353961483
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1297353964368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297354066540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297354074797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1297354108638
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1297354112432
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1297354115119
